,Tweets
0,sama mas saya pikir fokusnya sama bobroknya kepolisian malah fokusnya sama  orang polisi yang hedon pantes singanu fokusnya sama tangga dan pintu tragedi kanjuruhan bukan sama tembakan gas air mata 
1, haduh polisi lagi yg ditonjolkan polisi dah nyungsep nih kasus sambo apa kabar kasus kanjuruhan apa kabar kasus teddy apa kabar dan kasus polisi yg nyabu pungli bunuh pemerkosa judi dll apa kabar ya saatnya polisi sadar diri
2,membuat konsorsium judi menjadi sindikat narkoba kekekerasan di kanjuruhan yang menewaskan lebih dari  korban jiwa  siapakah polisi sebenarnya tempat warga berlindung dari kejahatan  apakah benar kita sedang hidup di indonesia  
3,  yg gak punya wibawa ya jokowi dan mempora mau nyelesaikan kasus kanjuruhan aja gak bisa tuntas alias  ya hasilnya tau sendiri pimpinan polisi aja dipanggil ke istana apa mereka akan nurut apa kata jokowi saya kok gak yakin apaa pemerintahan ini msh punya wibawa
4,ditambah lg dgn tembakan gas air mata k tribun penonton stadion kanjuruhan plus jilat kue tni seorang irjen tersangka ngedarin narkoba anggota polisi yg terkuak berkerjasama buat rampok motor warga daaan seterusnya aduhlah heran banget ini beneran polisi apa preman negara
5,polisi saja pun mmg ada yg sakit jiwa  baik nya semua polisi dan juga pengurus pssi agar di periksa kejiwaan nya oleh psikolog atas pembunuhan penonton di kanjuruhan dan kok tdk ada yg peduli akan nasip mrk yg meninggal  bhkan sampai skrg byk yg menunggu ajal krn sakit 
6,polisi akui gunanakan gas air mata kedaluwarsa di stadion kanjuruhan 
7,kontras dalami dugaan intimidasi kepada keluarga korban tragedi kanjuruhan oleh polisi 
8,    polisi kanjuruhan  bola maaf lanyalla 
9, justru kasus sambo itu bikin rakyat percaya lagi polisi percakapannya nyaris satu suara dukung kapolri  itu makanya pas kanjuruhan hampir minim masyarakat menyalahkan polisikeseluruhan hanya onkum yg di lapangan saja hatihati jebakan lanjutkan pak rakyat tau kok
10,yaampun maaf aja nih orang jatim emang ga bisa belajar dikit dari tragedi kanjuruhan emang polisi salah di kanjuruhan yang ini gak ada  lu pada nyerang polisi enjoy music ya enjoy aja ga usah rusuh bisa kan 
11,kasus bjorka kasus kanjuruhan kasus km  dan beberapa kasus lainnya menunjukkan bahwa polisi lebih banyak bermain  mengingkari bukti menghilangkan barang bukti dan merekayasa barang bukti
12, kejadian di kanjuruhan itu saling berkaitan kalo emang usut tuntas ya usut juga kejadian pembakaran perusakan mobil polisi dan penyerangan terhadap mobil rantis ojok macak paling tersakiti ae
13,poin temuan tgipf soal kanjuruhan ini cukup menarik ada rekaman cctv yang terhapus di depan lobby vip dan area parkir   jadi pertanyaan kenapa oleh polisi dihapus siapa yang menghapus   indikasi obstruction of justice lagi ini berani usut gak pak  
14, pak kapolri kalau mau dpt hatinya rakyat supaya cinta lagi dg polisi setelah sambo kanjuruhan dan teddy dll yg msh banyak lakukan transparansi mulai penyidikan bandar judi perusak bangsa ini sampai persidangan jgn diem  seperti selama ini kasus bandar kakap selalu senyap
15,tragedi kanjuruhan polri tidak akan gunakan gas air mata dalam pengamanan dan pengendalian massa sepakbola     sepakbola tragedikanjuruhan indonesia arema polri polisi gasairmata news terkini beritaterkini beritabolaterbru rasiorakyat
16,gimana nasib pertanggungjawaban polisi atas tragedi kanjuruhancumasampaidilevelpetugaslapangan 
17, tpi polisi ttp akan terlibat  contoh tgipf kanjuruhan ini pun nanti hasilnya kepolisian yg akan sidik
